,turns,winner,increment_code,white_rating,black_rating,opening_name
0,61,white,5+10,1496,1500,King's Pawn Game
1,61,white,20+0,1439,1454,Queen's Pawn
2,95,white,30+3,1523,1469,Philidor Defense
3,119,white,10+0,1381,1209,Scandinavian Defense: Mieses-Kotroc Variation
4,39,white,20+60,1381,1272,Van't Kruijs Opening
5,60,black,5+40,1381,1936,French Defense
6,31,black,8+0,1381,1607,French Defense
7,31,white,15+15,1094,1141,Four Knights Game: Italian Variation
8,52,black,15+15,1094,1141,Four Knights Game: Italian Variation
9,66,black,15+16,1141,1094,Four Knights Game: Italian Variation
10,101,black,15+15,1094,1300,Philidor Defense
11,25,white,11+0,1500,1094,Queen's Pawn
12,14,black,15+15,1094,1676,Italian Game
13,3,white,30+60,1094,1068,Horwitz Defense
14,17,white,15+5,1500,1094,Sicilian Defense
15,13,black,10+0,1113,1423,Sicilian Defense
16,69,white,10+10,1078,1219,Queen's Pawn
17,54,black,10+10,1328,1038,Queen's Pawn
18,66,black,10+10,1077,1148,Queen's Gambit Refused: Marshall Defense
19,64,black,10+10,1358,1036,Sicilian Defense
20,54,white,10+10,1203,1019,Sicilian Defense
21,11,white,18+0,1422,975,Sicilian Defense
22,22,black,15+0,978,1500,Indian Game
23,30,white,30+0,1500,978,Sicilian Defense
24,41,white,20+0,1500,978,Sicilian Defense
25,49,white,15+0,1500,978,Sicilian Defense
26,3,black,15+0,978,1500,Scandinavian Defense
27,7,white,10+0,1343,978,Sicilian Defense
28,41,white,40+40,2436,978,Scandinavian Defense: Mieses-Kotroc Variation
29,5,black,10+0,978,1500,French Defense
30,36,black,10+0,1500,978,English Opening: King's English Variation
31,44,black,10+0,1457,1294,Scotch Game
32,37,black,8+10,1207,1579,French Defense
33,49,white,8+12,1567,1573,Modern Defense
34,32,black,8+12,1578,1605,Horwitz Defense
35,40,black,5+10,1618,1568,French Defense
36,57,white,15+10,1561,1596,Indian Game
37,61,white,15+5,1544,1461,Queen's Pawn
38,44,black,20+5,1563,1335,Queen's Pawn
39,62,black,20+5,1579,1470,Queen's Pawn
40,87,white,20+5,1617,1590,Indian Game
41,54,black,15+5,1595,1547,Queen's Pawn
42,37,white,15+5,1855,1599,French Defense
43,50,white,15+5,1589,1547,Horwitz Defense
44,61,white,15+5,1552,1436,Queen's Pawn
45,71,white,15+5,1537,1408,Queen's Pawn
46,114,white,15+5,1522,1512,Queen's Pawn
47,48,black,30+0,1556,1539,Queen's Pawn
48,34,black,20+10,1409,1548,French Defense
49,85,white,20+10,1513,1784,Horwitz Defense
50,113,draw,15+0,1745,1714,Queen's Gambit Refused: Marshall Defense
51,62,white,15+0,1734,1748,Queen's Gambit Refused: Marshall Defense
52,75,white,10+0,1724,1855,Scotch Game
53,81,white,10+0,1726,1388,Philidor Defense
54,70,black,10+0,1597,1728,French Defense
55,137,white,10+0,1746,1487,Queen's Gambit Accepted: Old Variation
56,28,black,10+0,1769,1396,Queen's Gambit Accepted: Old Variation
57,33,white,10+0,1770,1872,Queen's Pawn
58,23,white,15+15,1215,921,Italian Game
59,120,draw,15+15,1139,1212,Four Knights Game: Italian Variation
60,26,black,15+15,1234,1359,Italian Game
61,24,black,15+15,1132,1276,Queen's Gambit Refused: Marshall Defense
62,47,white,30+2,1276,1308,Italian Game
63,9,white,15+15,1338,1277,Queen's Pawn
64,85,white,15+15,1316,1273,English Opening: King's English Variation
65,97,white,15+15,1227,1216,Queen's Gambit Refused: Marshall Defense
66,12,draw,15+15,1215,1219,Italian Game
67,30,white,15+15,1227,1227,Four Knights Game: Italian Variation
68,18,black,25+0,1228,1626,Queen's Gambit Declined
69,85,white,15+15,1212,1212,Modern Defense
70,76,black,15+0,1861,1844,Italian Game
71,59,white,10+0,1851,1890,French Defense
72,107,white,10+10,1885,1856,Sicilian Defense
73,58,white,30+0,1847,1802,Queen's Pawn
74,44,black,15+0,1860,1820,French Defense
75,105,white,10+0,1895,1859,Sicilian Defense
76,144,draw,10+0,1866,1843,Sicilian Defense
77,40,black,15+0,1834,1835,Sicilian Defense
78,59,white,15+5,1846,1845,Caro-Kann Defense
79,110,black,10+0,1845,1917,Queen's Gambit Refused: Marshall Defense
80,30,black,15+0,1858,1790,Scandinavian Defense: Mieses-Kotroc Variation
81,54,black,10+0,1871,1847,Sicilian Defense
82,69,black,10+0,1846,1869,Philidor Defense
83,136,black,15+0,1800,1826,Sicilian Defense
84,96,black,10+4,1290,1270,Hungarian Opening
85,39,white,10+0,1304,1292,Van't Kruijs Opening
86,10,black,10+0,1305,1293,French Defense
87,106,black,30+0,968,1305,Four Knights Game: Italian Variation
88,38,black,15+15,1293,1466,Philidor Defense
89,111,white,7+2,1288,1232,Caro-Kann Defense
90,15,white,7+2,1806,1289,Scotch Game
91,42,white,7+2,1289,1311,Philidor Defense
92,34,black,7+2,1289,1484,Giuoco Piano
93,66,black,7+2,1806,1289,Scotch Game
94,21,white,5+8,1289,1500,Philidor Defense
95,159,white,15+1,1280,1485,Italian Game
96,74,white,15+0,1280,1211,Scandinavian Defense: Mieses-Kotroc Variation
97,150,draw,15+1,1259,1663,Italian Game
98,137,draw,10+0,1568,1617,Italian Game
99,33,black,10+2,1384,1325,Pirc Defense #4
100,91,white,20+10,1377,1249,Scandinavian Defense: Mieses-Kotroc Variation
101,49,white,10+2,1378,1361,Philidor Defense
102,20,black,10+9,1380,1429,Sicilian Defense
103,24,white,6+7,1361,1383,Van't Kruijs Opening
104,34,black,20+0,1474,1387,Scandinavian Defense
105,103,white,15+2,1377,1351,Philidor Defense
106,22,black,30+15,1389,1400,Philidor Defense
107,38,white,10+0,1849,1389,Scotch Game
108,31,white,45+30,1354,1217,Italian Game
109,38,black,15+15,1245,1346,Queen's Gambit Accepted: Old Variation
110,43,white,10+4,1346,1099,Italian Game
111,110,black,8+0,1426,1527,French Defense
112,57,white,10+2,1497,1730,Owen Defense
113,57,white,7+3,1437,1552,Italian Game
114,29,white,7+3,1513,1456,Sicilian Defense
115,97,white,10+0,1638,1614,Italian Game
116,48,black,8+0,1776,1587,Queen's Pawn
117,87,white,10+0,1515,1379,Scandinavian Defense: Mieses-Kotroc Variation
118,54,black,10+0,1511,1516,Queen's Gambit Declined
119,48,black,10+0,1942,1611,Van't Kruijs Opening
120,29,white,15+15,1453,1496,Modern Defense
121,96,black,10+0,1550,1605,Queen's Pawn
122,78,black,15+0,1475,1605,Hungarian Opening
123,51,white,10+0,1861,1863,Caro-Kann Defense
124,48,draw,10+0,1618,1609,French Defense
125,20,black,10+0,1620,1607,Van't Kruijs Opening
126,98,black,10+0,1633,1581,Philidor Defense
127,19,white,10+0,1612,1614,Italian Game
128,69,black,10+0,1631,1684,Sicilian Defense
129,27,white,10+0,1480,1643,Bishop's Opening
130,71,white,10+0,1630,1638,Italian Game
131,48,white,10+0,1649,1639,Bishop's Opening
132,45,white,10+0,1626,1631,Italian Game
133,92,black,10+0,1634,1603,Bishop's Opening
134,71,draw,10+0,1570,1555,Italian Game
135,97,white,10+0,1559,1557,French Defense
136,60,white,10+0,1546,1571,Indian Game
137,33,white,10+0,1534,1678,Philidor Defense
138,64,black,8+2,1629,1887,Queen's Pawn
139,58,black,10+0,966,1124,Scandinavian Defense
140,11,white,15+15,1238,985,Van't Kruijs Opening
141,163,draw,10+0,972,1247,English Opening: King's English Variation
142,37,black,10+0,974,1129,Queen's Pawn
143,78,black,10+0,1016,1126,Van't Kruijs Opening
144,42,black,10+0,1047,1151,Queen's Pawn
145,101,white,10+0,1127,1044,King's Pawn Game
146,65,white,10+0,1020,1200,Queen's Pawn
147,71,draw,10+0,1071,1068,Queen's Pawn
148,44,black,10+0,1115,1223,Queen's Pawn
149,20,black,10+0,1190,1213,Queen's Pawn
150,40,black,10+0,1500,1500,Scandinavian Defense
151,59,black,15+10,1367,1866,Van't Kruijs Opening
152,19,white,10+0,1590,1373,Owen Defense
153,50,black,10+0,1377,1667,Hungarian Opening
154,15,white,5+8,1476,1367,Owen Defense
155,52,black,5+8,1376,1469,Van't Kruijs Opening
156,65,white,5+8,1460,1386,Owen Defense
157,67,white,10+0,1372,1408,Philidor Defense
158,130,black,8+0,1500,1395,French Defense
159,125,white,8+0,1382,1414,French Defense
160,76,black,15+5,1320,1400,French Defense
161,53,white,30+0,1383,1242,Queen's Pawn
162,53,white,25+0,1357,959,Queen's Pawn
163,38,white,10+0,1559,1423,Horwitz Defense
164,43,white,5+9,1576,1386,Queen's Pawn
165,49,white,16+7,1591,1326,Queen's Pawn
166,148,draw,10+0,1529,1763,Queen's Pawn
167,2,draw,10+0,1641,1502,Scandinavian Defense
168,40,black,10+0,1486,1909,Modern Defense
169,60,black,10+0,1488,2192,Indian Game
170,45,white,10+0,1470,1684,Queen's Pawn
171,36,black,10+0,1500,1501,Indian Game
172,46,draw,7+5,1356,1491,Scandinavian Defense
173,34,black,10+0,1495,1771,Indian Game
174,38,white,5+5,1529,1639,French Defense
175,2,black,5+5,1646,1795,Queen's Pawn
176,116,draw,5+5,1596,1686,Modern Defense
177,54,black,5+5,1668,1761,Horwitz Defense
178,41,white,5+5,1582,1704,French Defense
179,30,black,5+5,1676,1680,French Defense
180,64,black,10+3,1142,1679,Queen's Pawn
181,71,black,5+5,1493,1678,French Defense
182,60,white,5+5,1525,1693,Queen's Pawn
183,58,black,5+5,1709,1681,Horwitz Defense
184,34,black,5+5,1572,1688,French Defense
185,23,black,15+2,1302,1248,Queen's Gambit Refused: Marshall Defense
186,32,black,10+0,1314,1270,Queen's Gambit Accepted: Old Variation
187,43,white,15+2,1318,1449,Queen's Gambit Refused: Marshall Defense
188,41,white,15+2,1290,1367,Queen's Gambit Accepted: Old Variation
189,6,white,40+20,1814,1299,Italian Game
190,67,white,15+2,1348,1308,King's Pawn Game
191,56,black,15+2,1318,1366,Queen's Gambit Accepted: Old Variation
192,40,black,15+2,1345,1187,Queen's Gambit Accepted: Old Variation
193,39,white,15+2,1322,1072,Queen's Gambit Accepted: Old Variation
194,33,white,15+15,1350,1265,Scotch Game
195,58,black,15+15,1270,1299,Queen's Pawn
196,31,white,15+15,1223,1282,Scandinavian Defense: Mieses-Kotroc Variation
197,15,white,15+15,1289,1306,Four Knights Game: Italian Variation
198,22,black,15+15,1273,1160,Queen's Pawn
199,27,white,10+0,1154,974,Philidor Defense
