turns,winner,increment_code,white_rating,black_rating,opening_name
61,white,5+10,1496,1500,King's Pawn Game: Leonardis Variation
61,white,20+0,1439,1454,Queen's Pawn Game: Zukertort Variation
95,white,30+3,1523,1469,Philidor Defense
119,white,10+0,1381,1209,Scandinavian Defense: Mieses-Kotroc Variation
39,white,20+60,1381,1272,Van't Kruijs Opening
60,black,5+40,1381,1936,French Defense: Knight Variation
31,black,8+0,1381,1607,French Defense #2
31,white,15+15,1094,1141,Four Knights Game: Italian Variation
52,black,15+15,1094,1141,Four Knights Game: Italian Variation
66,black,15+16,1141,1094,Four Knights Game: Italian Variation
101,black,15+15,1094,1300,Philidor Defense #3
25,white,11+0,1500,1094,Queen's Pawn Game
14,black,15+15,1094,1676,Italian Game: Anti-Fried Liver Defense
3,white,30+60,1094,1068,Horwitz Defense
17,white,15+5,1500,1094,Sicilian Defense: Bowdler Attack
13,black,10+0,1113,1423,Sicilian Defense: Smith-Morra Gambit #2
69,white,10+10,1078,1219,Queen's Pawn Game: Chigorin Variation
54,black,10+10,1328,1038,Queen's Pawn Game: Chigorin Variation
66,black,10+10,1077,1148,Queen's Gambit Refused: Marshall Defense
64,black,10+10,1358,1036,Sicilian Defense: Smith-Morra Gambit #2
54,white,10+10,1203,1019,Sicilian Defense
11,white,18+0,1422,975,Sicilian Defense: Bowdler Attack
22,black,15+0,978,1500,Indian Game
30,white,30+0,1500,978,Sicilian Defense: Smith-Morra Gambit #2
41,white,20+0,1500,978,Sicilian Defense: Smith-Morra Gambit #2
49,white,15+0,1500,978,Sicilian Defense: Bowdler Attack
3,black,15+0,978,1500,Scandinavian Defense
7,white,10+0,1343,978,Sicilian Defense: Bowdler Attack
41,white,40+40,2436,978,Scandinavian Defense: Mieses-Kotroc Variation
5,black,10+0,978,1500,French Defense: Normal Variation
36,black,10+0,1500,978,English Opening: King's English Variation
44,black,10+0,1457,1294,Scotch Game
37,black,8+10,1207,1579,French Defense: Knight Variation
49,white,8+12,1567,1573,Modern Defense
32,black,8+12,1578,1605,Horwitz Defense
40,black,5+10,1618,1568,French Defense #2
57,white,15+10,1561,1596,Indian Game
61,white,15+5,1544,1461,Queen's Pawn Game: Mason Attack
44,black,20+5,1563,1335,Queen's Pawn Game: Mason Attack
62,black,20+5,1579,1470,Queen's Pawn
87,white,20+5,1617,1590,Indian Game
54,black,15+5,1595,1547,Queen's Pawn Game: Mason Attack
37,white,15+5,1855,1599,French Defense: Exchange Variation
50,white,15+5,1589,1547,Horwitz Defense
61,white,15+5,1552,1436,Queen's Pawn Game: Mason Attack
71,white,15+5,1537,1408,Queen's Pawn Game: Mason Attack
114,white,15+5,1522,1512,Queen's Pawn
48,black,30+0,1556,1539,Queen's Pawn Game: Mason Attack
34,black,20+10,1409,1548,French Defense: Knight Variation
85,white,20+10,1513,1784,Horwitz Defense
113,draw,15+0,1745,1714,Queen's Gambit Refused: Marshall Defense
62,white,15+0,1734,1748,Queen's Gambit Refused: Marshall Defense
75,white,10+0,1724,1855,Scotch Game
81,white,10+0,1726,1388,Philidor Defense
70,black,10+0,1597,1728,French Defense: Knight Variation
137,white,10+0,1746,1487,Queen's Gambit Accepted: Old Variation
28,black,10+0,1769,1396,Queen's Gambit Accepted: Old Variation
33,white,10+0,1770,1872,Queen's Pawn Game: Zukertort Variation
23,white,15+15,1215,921,Italian Game
120,draw,15+15,1139,1212,Four Knights Game: Italian Variation
26,black,15+15,1234,1359,Italian Game: Anti-Fried Liver Defense
24,black,15+15,1132,1276,Queen's Gambit Refused: Marshall Defense
47,white,30+2,1276,1308,Italian Game: Anti-Fried Liver Defense
9,white,15+15,1338,1277,Queen's Pawn Game #2
85,white,15+15,1316,1273,English Opening: King's English Variation
97,white,15+15,1227,1216,Queen's Gambit Refused: Marshall Defense
12,draw,15+15,1215,1219,Italian Game
30,white,15+15,1227,1227,Four Knights Game: Italian Variation
18,black,25+0,1228,1626,Queen's Gambit Declined
85,white,15+15,1212,1212,Modern Defense
76,black,15+0,1861,1844,Italian Game: Anti-Fried Liver Defense
59,white,10+0,1851,1890,French Defense: Knight Variation
107,white,10+10,1885,1856,Sicilian Defense
58,white,30+0,1847,1802,Queen's Pawn
44,black,15+0,1860,1820,French Defense: Knight Variation
105,white,10+0,1895,1859,Sicilian Defense
144,draw,10+0,1866,1843,Sicilian Defense
40,black,15+0,1834,1835,Sicilian Defense: Old Sicilian
59,white,15+5,1846,1845,Caro-Kann Defense
110,black,10+0,1845,1917,Queen's Gambit Refused: Marshall Defense
30,black,15+0,1858,1790,Scandinavian Defense: Mieses-Kotroc Variation
54,black,10+0,1871,1847,Sicilian Defense: Old Sicilian
69,black,10+0,1846,1869,Philidor Defense
136,black,15+0,1800,1826,Sicilian Defense
96,black,10+4,1290,1270,Hungarian Opening
39,white,10+0,1304,1292,Van't Kruijs Opening
10,black,10+0,1305,1293,French Defense: Normal Variation
106,black,30+0,968,1305,Four Knights Game: Italian Variation
38,black,15+15,1293,1466,Philidor Defense #3
111,white,7+2,1288,1232,Caro-Kann Defense
15,white,7+2,1806,1289,Scotch Game
42,white,7+2,1289,1311,Philidor Defense #3
34,black,7+2,1289,1484,Giuoco Piano
66,black,7+2,1806,1289,Scotch Game
21,white,5+8,1289,1500,Philidor Defense #3
159,white,15+1,1280,1485,Italian Game: Anti-Fried Liver Defense
74,white,15+0,1280,1211,Scandinavian Defense: Mieses-Kotroc Variation
150,draw,15+1,1259,1663,Italian Game: Anti-Fried Liver Defense
137,draw,10+0,1568,1617,Italian Game
33,black,10+2,1384,1325,Pirc Defense #4
91,white,20+10,1377,1249,Scandinavian Defense: Mieses-Kotroc Variation
49,white,10+2,1378,1361,Philidor Defense
20,black,10+9,1380,1429,Sicilian Defense: Old Sicilian
24,white,6+7,1361,1383,Van't Kruijs Opening
34,black,20+0,1474,1387,Scandinavian Defense
103,white,15+2,1377,1351,Philidor Defense #2
22,black,30+15,1389,1400,Philidor Defense #2
38,white,10+0,1849,1389,Scotch Game
31,white,45+30,1354,1217,Italian Game
38,black,15+15,1245,1346,Queen's Gambit Accepted: Old Variation
43,white,10+4,1346,1099,Italian Game: Anti-Fried Liver Defense
110,black,8+0,1426,1527,French Defense: Knight Variation
57,white,10+2,1497,1730,Owen Defense
57,white,7+3,1437,1552,Italian Game
29,white,7+3,1513,1456,Sicilian Defense
97,white,10+0,1638,1614,Italian Game: Anti-Fried Liver Defense
48,black,8+0,1776,1587,Queen's Pawn Game
87,white,10+0,1515,1379,Scandinavian Defense: Mieses-Kotroc Variation
54,black,10+0,1511,1516,Queen's Gambit Declined
48,black,10+0,1942,1611,Van't Kruijs Opening
29,white,15+15,1453,1496,Modern Defense
96,black,10+0,1550,1605,Queen's Pawn Game: Mason Attack
78,black,15+0,1475,1605,Hungarian Opening
51,white,10+0,1861,1863,Caro-Kann Defense
48,draw,10+0,1618,1609,French Defense: Knight Variation
20,black,10+0,1620,1607,Van't Kruijs Opening
98,black,10+0,1633,1581,Philidor Defense #3
19,white,10+0,1612,1614,Italian Game
69,black,10+0,1631,1684,Sicilian Defense
27,white,10+0,1480,1643,Bishop's Opening
71,white,10+0,1630,1638,Italian Game: Anti-Fried Liver Defense
48,white,10+0,1649,1639,Bishop's Opening
45,white,10+0,1626,1631,Italian Game
92,black,10+0,1634,1603,Bishop's Opening
71,draw,10+0,1570,1555,Italian Game: Anti-Fried Liver Defense
97,white,10+0,1559,1557,French Defense: Knight Variation
60,white,10+0,1546,1571,Indian Game
33,white,10+0,1534,1678,Philidor Defense
64,black,8+2,1629,1887,Queen's Pawn Game #2
58,black,10+0,966,1124,Scandinavian Defense
11,white,15+15,1238,985,Van't Kruijs Opening
163,draw,10+0,972,1247,English Opening: King's English Variation
37,black,10+0,974,1129,Queen's Pawn Game: Chigorin Variation
78,black,10+0,1016,1126,Van't Kruijs Opening
42,black,10+0,1047,1151,Queen's Pawn Game: Chigorin Variation
101,white,10+0,1127,1044,King's Pawn Game: Wayward Queen Attack
65,white,10+0,1020,1200,Queen's Pawn Game: Zukertort Variation
71,draw,10+0,1071,1068,Queen's Pawn Game: Mason Attack
44,black,10+0,1115,1223,Queen's Pawn Game: Chigorin Variation
20,black,10+0,1190,1213,Queen's Pawn Game: Chigorin Variation
40,black,10+0,1500,1500,Scandinavian Defense
59,black,15+10,1367,1866,Van't Kruijs Opening
19,white,10+0,1590,1373,Owen Defense
50,black,10+0,1377,1667,Hungarian Opening
15,white,5+8,1476,1367,Owen Defense
52,black,5+8,1376,1469,Van't Kruijs Opening
65,white,5+8,1460,1386,Owen Defense
67,white,10+0,1372,1408,Philidor Defense #3
130,black,8+0,1500,1395,French Defense #2
125,white,8+0,1382,1414,French Defense: Exchange Variation
76,black,15+5,1320,1400,French Defense: Knight Variation
53,white,30+0,1383,1242,Queen's Pawn Game: Zukertort Variation
53,white,25+0,1357,959,Queen's Pawn Game: Mason Attack
38,white,10+0,1559,1423,Horwitz Defense
43,white,5+9,1576,1386,Queen's Pawn Game: Mason Attack
49,white,16+7,1591,1326,Queen's Pawn Game: Mason Attack
148,draw,10+0,1529,1763,Queen's Pawn Game: Mason Attack
2,draw,10+0,1641,1502,Scandinavian Defense
40,black,10+0,1486,1909,Modern Defense
60,black,10+0,1488,2192,Indian Game
45,white,10+0,1470,1684,Queen's Pawn Game: Mason Attack
36,black,10+0,1500,1501,Indian Game
46,draw,7+5,1356,1491,Scandinavian Defense
34,black,10+0,1495,1771,Indian Game
38,white,5+5,1529,1639,French Defense: Knight Variation
2,black,5+5,1646,1795,Queen's Pawn Game
116,draw,5+5,1596,1686,Modern Defense
54,black,5+5,1668,1761,Horwitz Defense
41,white,5+5,1582,1704,French Defense: Knight Variation
30,black,5+5,1676,1680,French Defense: Knight Variation
64,black,10+3,1142,1679,Queen's Pawn Game #2
71,black,5+5,1493,1678,French Defense #2
60,white,5+5,1525,1693,Queen's Pawn Game: Zukertort Variation
58,black,5+5,1709,1681,Horwitz Defense
34,black,5+5,1572,1688,French Defense: Exchange Variation
23,black,15+2,1302,1248,Queen's Gambit Refused: Marshall Defense
32,black,10+0,1314,1270,Queen's Gambit Accepted: Old Variation
43,white,15+2,1318,1449,Queen's Gambit Refused: Marshall Defense
41,white,15+2,1290,1367,Queen's Gambit Accepted: Old Variation
6,white,40+20,1814,1299,Italian Game
67,white,15+2,1348,1308,King's Pawn Game: Wayward Queen Attack
56,black,15+2,1318,1366,Queen's Gambit Accepted: Old Variation
40,black,15+2,1345,1187,Queen's Gambit Accepted: Old Variation
39,white,15+2,1322,1072,Queen's Gambit Accepted: Old Variation
33,white,15+15,1350,1265,Scotch Game
58,black,15+15,1270,1299,Queen's Pawn Game: Chigorin Variation
31,white,15+15,1223,1282,Scandinavian Defense: Mieses-Kotroc Variation
15,white,15+15,1289,1306,Four Knights Game: Italian Variation
22,black,15+15,1273,1160,Queen's Pawn Game
27,white,10+0,1154,974,Philidor Defense
74,black,10+0,1250,1156,Hungarian Opening
40,black,15+15,1089,1165,Giuoco Piano
